,MC
Herbs & Seasoning,1211
Millets,1102
Other Whole Spices,1022
Kolam Raw Rice,981
Poha/Avalakki/Chirwa,747
Single Boiled Rice,710
Mustard/Rai Whole,694
Health & Other Flour,690
Rajma Whole,644
Cashew,625
Toor Dal,614
Chilli/Mirch Powder,610
Red Chana Whole,593
South Indian Mixes,589
Other Whole Pulses,556
Raisin,549
Kabuli Chana Whole,544
Cardamom/Elaichi Who,544
North Indian Mixes,541
Fennel/Saunf Whole,515
Chilli/Mirch Whole,507
Urad Dal,506
Fragrant Raw Rice,503
Rava,501
Almond,498
Masoor Dal,491
Moong Dal,475
Salt,469
Daliya,451
Other Raw Rice,439
Basmati Head Grain R,434
Sesame/Til Whole,409
Double Boiled Rice,393
Olive & Exotic Oil,391
Jaggery,384
Sona Masoori Raw Ric,382
Moong Whole,381
Chana Dal,376
Other Dried Fruits,374
Sabudana,353
Groundnut,352
Seeds & Super food,346
Cumin/Jeera Whole,325
Fenugreek/Methi Whol,324
Urad Chilka,322
Walnut,322
Wheat Flour,322
Standard Rice,321
Chawli Whole,316
Besan,307
Dates,305
Basic Sugar,290
Health Rice,289
Masoor Whole,284
Watana Whole,284
Premium Rice,278
Flavoured Cashew,263
Upwas Flour,252
Moong Chilka,250
Poppy Seed/Khus Khus,244
Coriander/Dhania Who,239
Flavoured Pista,238
Value Added Sugar,230
Rice Based Flour,223
Clove/Laung Whole,221
Kurmura/Murmura/Lahi,212
Coriander/Dhania Pow,203
Cinnamon/Dalchini Wh,196
Lokwan Wheat,195
Pepper/Kali Mirch Wh,194
Panch Phoron Whole,193
Mixed Dry Fruits,191
Turmeric/Haldi Powde,191
Basmati Broken Rice,190
Carrom/Ajwain Whole,186
Makhana Whole,181
Sharbati Wheat,179
Other Powdered Spice,179
Steam Rice,176
Futana,174
Soya Chunks,170
Multigrain Flour,168
Dried Fig,168
Mustard Oil,165
Mixed Dal,162
Dry Fruit Gift Pack,161
Maida,161
Flavoured Almond,150
Snackmix Masala,149
Tamarind/Imli Whole,147
Garam Masala Powder,145
Economy Rice,143
Bay Leaf/Tej Patta W,142
Cow Ghee,136
Garam Masala Whole,134
DAL RECIPE READY,134
Sunflower Oil,128
Dried Fenugreek/Kasu,126
RICE RECIPE READY,125
Pepper/Kali Mirch Po,119
Supreme Rice,114
Asafoetida/Hing Powd,114
Urad Whole,107
Basmati Dubar Rice,99
Dried Coconut/Kopra,96
Popular Rice,91
Soyabean Oil,75
Pista,73
Basmati Tibar Rice,68
Ricebran Oil,67
Ponny Raw Rice,62
Other Split Pulses,60
Veg - Curry/Sabji Ma,60
Parmal Raw Rice,54
Dry Mango/Amchur Pow,53
Desi Ghee,50
Cumin/Jeera Powder,48
Saffron/Kesar Whole,45
Other Flavoured Nuts,41
Til Oil,24
Health Oil,23
Groundnut Oil,19
Dal/Sambhar Masala,12
Non Veg - Curry Masa,11
Drinks & Beverage Ma,10
Vanaspati,5
Palm Oil,3
Cottonseed Oil,1
