Models,rmse_train_cv_avg,rmse_train_cv_std,rmse_val_cv_avg,rmse_val_cv_std,rmse_test_cv_avg,rmse_test_cv_std,mean_ae_train_cv_avg,mean_ae_train_cv_std,mean_ae_val_cv_avg,mean_ae_val_cv_std,mean_ae_test_cv_avg,mean_ae_test_cv_std,median_ae_train_cv_avg,median_ae_train_cv_std,median_ae_val_cv_avg,median_ae_val_cv_std,median_ae_test_cv_avg,median_ae_test_cv_std
HuberRegressor,162.70369206833166,2.1194894170211493,162.494577257874,2.1153056245937045,162.5083699608396,10.981878652427401,60.44382709243007,0.8403940675227436,60.520678413841175,0.8449216004746753,60.46288515783027,2.913990364560671,26.627916392702577,0.3143158982573435,26.736667353040797,0.34492524343312103,26.682522285965415,0.3361412559416543
Ridge,148.2933717473963,1.7187640991807667,148.39497385420816,1.7198833205327906,148.20514711409118,7.785022582326887,79.57425086983639,1.0406900704257487,79.7038899399059,1.043496624544136,79.55881970052219,1.640037913536411,51.926542756644594,0.4989593057351236,52.016412158410546,0.5430579049735429,52.01870763263669,0.5922435033917819
Lasso,148.2960395002364,1.7187125706199222,148.39540711037836,1.722634079868504,148.20713636200108,7.80398100621806,79.5774936485051,1.0377605188696606,79.70669957850399,1.0416610807597573,79.56047585147152,1.643500024290382,51.97711945629629,0.5016349058806212,52.055232255280714,0.5294155960167971,51.9530618348452,0.5695115304871287
ElasticNet,147.1318156163258,1.7646083664196477,147.29879183363687,1.7786752506126957,147.13871914131101,7.930406358033909,79.07591561221514,1.0839466987736959,79.245326858327,1.0933814100582488,79.09877401275428,1.7895674848622698,51.65356761812673,0.5061452183001753,51.77320099958462,0.48528362044784323,51.63194138682387,0.5130983328320026
LinearSVR,57.36819928661347,1.873360586239649,57.43456697658762,1.8269729073106376,57.32702051721469,7.725482092808475,16.8376863481324,0.3036347635712596,16.902678935266785,0.31680231785126534,16.867739897801805,0.5457772337388911,6.219673488044828,0.199630842171189,6.232025469833795,0.22902235642707902,6.314326612568083,0.1842829889405088
DecisionTreeRegressor,44.50069367718676,0.8251443487348055,57.454589322122885,0.7603852984475283,51.8064256858395,5.4764334501675185,18.75023296884521,0.14749094289419998,19.834540030912247,0.16613398994167963,19.386026893164498,0.7940550563709745,10.135737459078452,0.18486820200107287,10.231046314052326,0.1898877144783946,10.062836521816669,0.19467965784594615
RandomForestRegressor,40.064703998914766,1.0173266063318456,53.32698069024582,1.0824978470167395,48.68310605283089,3.7106734458320783,16.089824983840185,0.21351380869656855,17.19575664159319,0.18895868225327017,16.770894189196603,0.6134059987842361,8.732773093535354,0.32090716620369364,8.831458125249757,0.3259172236921179,8.631461723265499,0.3621258685684715
ExtraTreesRegressor,41.593257576014835,0.6570635554424967,50.147406726927116,0.7969020121393154,47.16588162456643,4.895745681514648,16.487145841726417,0.1513069064284073,17.07993168041599,0.16259994816854248,16.86680026164236,0.7262070222987864,9.466598572478702,0.1670549598756469,9.4753301778137,0.1576927861741681,9.554600791670234,0.4411971442617853
AdaBoostRegressor,56.59639380646254,1.6729796497549139,61.35333414658221,1.1683698952210295,58.939758730369405,5.692159175182215,26.88099484541351,0.25368021086359227,27.433472428320705,0.2555332970581427,27.060457283372017,0.976353902723122,17.20321354751528,0.45786304237250963,17.20158542271957,0.5125541406233283,17.114949815046504,0.9798576556098553
HistGradientBoostingRegressor,38.88006984477208,1.7517309192648618,52.610671634513096,1.7446753599038594,49.16774939267646,6.840824130599175,12.90033164123731,0.5337707804532147,14.6027390018505,0.4006079616350744,14.034391267513621,0.7999731967645373,5.039430655506775,0.4322402120268382,5.131296994600894,0.4205927618729681,5.004171398728668,0.40564370013817264
XGBRegressor,29.187805057584512,9.592794409322762,52.579443429408876,1.9307720435358433,53.95474761461494,8.303791803520685,11.558361086468242,2.4439844336335117,14.931870531643645,0.9313052143917869,14.894915161232708,1.5491844294161994,5.045246149127442,1.0173917154410455,5.268958929419496,0.9136277843645091,5.522943425190919,1.0563852146118207
LGBMRegressor,57.75727147429636,4.396507238698923,63.210061984216416,1.7268697243030535,62.407093160095755,5.7116917047417815,15.679117483028232,0.44958505549603117,16.874097918996135,0.1739525638825192,16.776967757726897,1.0467921370161828,4.36550536979182,0.23185889562909986,4.532839628996522,0.15197243156298973,4.487279148473904,0.16912882099499288
CatBoostRegressor,38.135773733197965,2.1952670969777475,56.65169913167961,2.1827582490075375,53.332991582698114,5.648877931722387,14.067210907364503,0.37437723336510603,15.998508224058535,0.2716132618067632,15.483614834615135,0.7458985655822125,5.648388265108087,0.10838173861977278,5.73018482695817,0.10213926070937619,5.555250701528809,0.17401304279515134
